,IATA,IACO,Aerolinea,Llamada de Identificación,País
0,PR,BOI,2GO,ABAIR,Philippines
1,1A,n/a,Amadeus IT Group S.A.,n/a,Global
2,1B,n/a,Sabre travel network Asia-Pacific (ex-Abacus),n/a,APAC
3,1E,n/a,Travelsky,n/a,China
4,1F,n/a,"Infini travel information, Inc.",n/a,Japan
5,1G,n/a,Travelport (Galileo core),n/a,Global
6,1H,n/a,Sirena travel,n/a,Russia
7,1J,n/a,"Axess international network, Inc.",n/a,Japan
8,1K,n/a,AIRKIOSK,n/a,Global
9,1M,n/a,Sirin,n/a,Russia
10,1P,n/a,Travelport (Worldspan core),n/a,Global
11,1S,n/a,Sabre travel network,n/a,Global
12,1T,n/a,Hitit Computer Services,n/a,Turkey
13,1U,n/a,Google/ITA,n/a,United States
14,2T,TBS,Timbis Air,TIMBIS,Kenya
15,3F,FIE,FlyOne Armenia,ARMRIDER,Armenia
16,Q5,MLA,40-Mile Air,MILE-AIR,United States
17,4D,ASD,Air Sinai,AIR SINAI,Egypt
18,4R,SEK,Star East Airline[de;fa;it;pl],EAST RIDER,Romania
19,4O,AIJ,Interjet,ABC AEROLINEAS,Mexico
20,4Y,OCN,Eurowings Discover,EUROWINGS DISCOVER,Germany
21,5F,FIA,FlyOne,FIA,Moldova
22,5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,United Arab Emirates
23,6E,IGO,IndiGo,IFLY,India
24,6H,ISR,Israir,ISRAIR,Israel
25,7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
26,7B,UBE,Bees Airline,FLOWER BEE,Ukraine
27,7S,RYA,Ryan Air Services,RYAN AIR,United States
28,9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
29,BJ,ABJ,Abaeté Linhas Aéreas,ABAETE,Brazil
30,RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia
31,W9,AAB,Abelag Aviation,ABG,Belgium
32,M3,TUS,ABSA Cargo,Turismo,Brazil
33,GB,ABX,ABX Air,ABEX,United States
34,ZA,CYD,AccessAir,CYCLONE,United States
35,VX,AES,ACES Colombia,ACES,Colombia
36,KI,DHI,Adam Air,ADAM SKY,Indonesia
37,Z7*,ADK,ADC Airlines,ADCO,Nigeria
38,JP,ADR,Adria Airways,ADRIA,Slovenia
39,AN,WSN,Advanced Air,WINGSPAN,United States
40,A3,AEE,Aegean Airlines,AEGEAN,Greece
41,9D,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic
