,Origen,Destino,Numero de Vuelo,Salida,Llegada
0,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 7749,22:00,06:23
3,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),DL 6326,0:05,06:40
4,Buenos Aires [EZE],Brasilia Distrito Federal Brasilia Airport (BSB),AR 1052,0:55,04:02
5,Rio de Janeiro [GIG],Brasilia Distrito Federal Brasilia Airport (BSB),EK 3677,4:20,06:05
6,Rio de Janeiro [GIG],Brasilia Distrito Federal Brasilia Airport (BSB),KL 9400,4:20,06:05
7,Rio de Janeiro [GIG],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4025,4:20,06:05
8,Rio de Janeiro [GIG],Brasilia Distrito Federal Brasilia Airport (BSB),G3 9013,4:20,06:05
9,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3261,6:10,07:50
10,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1408,6:25,08:15
11,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3263,7:55,09:35
12,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1412,9:00,10:45
13,Lisbon [LIS],Brasilia Distrito Federal Brasilia Airport (BSB),TP 57,10:05,15:40
14,Lisbon [LIS],Brasilia Distrito Federal Brasilia Airport (BSB),TP 59,10:05,
15,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3265,12:10,14:00
16,"Salvador, Bahia [SSA]",Brasilia Distrito Federal Brasilia Airport (BSB),G3 1859,14:20,16:15
17,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1598,14:55,16:40
18,Panama City [PTY],Brasilia Distrito Federal Brasilia Airport (BSB),CM 205,15:50,00:04
19,"Salvador, Bahia [SSA]",Brasilia Distrito Federal Brasilia Airport (BSB),LA 3815,16:35,18:30
20,Rio de Janeiro [GIG],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2030,16:40,18:30
25,Lisbon [LIS],Brasilia Distrito Federal Brasilia Airport (BSB),TP 59,9:25,15:00
26,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3259,23:25,
29,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),AA 7770,22:00,06:35
30,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),DL 6326,0:05,
31,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),LA 2402,0:05,
32,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3711,1:25,
33,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3775,1:30,
34,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1465,2:15,06:10
35,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AD 4104,2:25,
36,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1911,2:25,
37,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7513,2:25,
38,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2107,2:40,
39,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7615,2:40,
40,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3747,3:00,06:55
41,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4547,3:00,06:45
42,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2143,3:45,07:35
43,Sinop [OPS],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3817,4:25,07:00
44,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3851,4:30,06:40
45,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3705,4:30,07:00
46,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3501,4:40,06:35
47,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1745,4:45,
48,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4155,4:45,
49,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7733,4:45,
50,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4507,4:55,
51,Cuiaba [CGB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1713,5:15,07:55
52,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1717,5:15,07:30
53,Campo Grande [CGR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3717,5:15,07:45
54,Florianopolis [FLN],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4549,5:15,07:25
55,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3433,5:20,
56,"Salvador, Bahia [SSA]",Brasilia Distrito Federal Brasilia Airport (BSB),LA 3811,5:25,07:25
57,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1669,5:30,08:00
58,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),TP 5861,5:35,
59,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),CM 3670,5:35,
60,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1923,5:35,
61,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1673,5:35,07:30
62,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4097,5:35,
63,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1707,5:35,
64,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3739,5:40,
65,Curitiba [CWB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4515,5:45,
66,Sao Jose Do Rio Preto [SJP],Brasilia Distrito Federal Brasilia Airport (BSB),2Z 2327,6:00,07:45
67,Sao Paulo [CGH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1442,6:00,07:50
68,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 7749,22:00,06:38
69,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),AA 7770,22:00,06:35
70,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),DL 6326,0:05,
71,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),LA 2402,0:05,
72,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3711,1:25,
73,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3775,1:30,
74,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1465,2:15,06:10
75,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AD 4104,2:25,
76,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1911,2:25,
77,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7513,2:25,
78,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2107,2:40,
79,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7615,2:40,
80,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3747,3:00,06:55
81,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4547,3:00,06:45
82,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2143,3:45,07:35
83,Sinop [OPS],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3817,4:25,07:00
84,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3851,4:30,06:40
85,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3705,4:30,07:00
86,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3501,4:40,06:35
87,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1745,4:45,
88,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4155,4:45,
89,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7733,4:45,
90,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4507,4:55,
91,Cuiaba [CGB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1713,5:15,07:55
92,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1717,5:15,07:30
93,Campo Grande [CGR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3717,5:15,07:45
94,Florianopolis [FLN],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4549,5:15,07:25
95,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3433,5:20,
96,"Salvador, Bahia [SSA]",Brasilia Distrito Federal Brasilia Airport (BSB),LA 3811,5:25,07:25
97,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1669,5:30,08:00
98,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),TP 5861,5:35,
99,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),CM 3670,5:35,
100,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1923,5:35,
101,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1673,5:35,07:30
102,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4097,5:35,
103,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1707,5:35,
104,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3739,5:40,
105,Curitiba [CWB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4515,5:45,
106,Sao Jose Do Rio Preto [SJP],Brasilia Distrito Federal Brasilia Airport (BSB),2Z 2327,6:00,07:45
107,Sao Paulo [CGH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1442,6:00,07:50
108,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 7749,22:00,06:38
109,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),AA 7770,22:00,06:35
110,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),DL 6326,0:05,
111,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),LA 2402,0:05,
